pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,pib_per_capita_ppc_d1
Albania,ALB,2018,16170.990493278,25.9195838592949,98.822387862215,75.6940783717425,7.83109146132114,2607733.0,20.2315679947359,23.7535886253159,0.25,0.25,0.625,0.5357143,0.425,0.616,0.4560185185185185,14.773992202961923,3.8502272729073574,811.529340220899
Albania,ALB,2019,16761.1925261726,24.6048342032887,99.01515356567,75.382128932689,7.70621465029911,2567801.0,20.5490004183011,22.9655210859374,0.25,0.25,0.5625,0.5714286,0.425,0.613,0.4722222222222222,14.758560838015677,3.847566995754063,590.2020328946
Albania,ALB,2020,16457.7872245882,25.1975755428037,95.9294474518951,59.5206994391875,7.01865154497786,2528480.0,20.896682708558,23.4687164183412,0.125,0.25,0.5625,0.5714286,0.4499999999999999,0.6193333,0.4722222222222222,14.743129285137378,3.8327915721297092,-303.40530158440015
Albania,ALB,2021,18212.8702466686,27.2150561792836,97.665033031442,75.5904040905009,6.75791457973236,2489762.0,21.7682443587448,22.4341412350759,0.125,0.25,0.5,0.5357143,0.475,0.6203333,0.4328703703703704,14.727698083188026,3.8271308608533707,1755.0830220804019
Albania,ALB,2022,19388.8731331744,25.6948129442746,97.3224714726407,84.6980435944865,7.57934042905775,2451636.0,22.2495025218655,23.0250522159549,0.125,0.25,0.5,0.5357143,0.475,0.6303333,0.4421296296296296,14.712266522664523,3.844856900027123,1176.0028865057975
Albania,ALB,2023,20481.0358398226,24.2865145867852,96.1368771236947,82.3524933990723,6.90036950940795,2414095.0,21.6488726713231,23.160711973189,0.125,0.25,0.5625,0.5357143,0.475,0.626,0.4467592592592592,14.696835447868771,3.8302275887670207,1092.1627066482033
Argentina,ARG,2018,27367.115094108,15.2510495001607,109.671241760254,30.7625359549926,2.23253157689253,44654882.0,20.7848673724352,23.7195923321304,0.375,0.5,0.5625,0.5357143,0.5499999999999999,0.6506666999999999,0.4722222222222221,17.614474221009356,3.7234061099708025,-967.7890906339999
Argentina,ARG,2019,26629.5529419501,14.1990461422681,110.460151672363,32.6306150458499,1.48500687570697,44973465.0,20.6149198410894,23.1578477391434,0.375,0.5,0.5,0.4285714,0.475,0.6506666999999999,0.4976851851851852,17.621583229381496,3.7051872588273236,-737.5621521579014
Argentina,ARG,2020,23877.0931404855,14.282505371897,112.376731872559,30.203698807416,1.26616924308721,45191965.0,20.9264628130185,22.4088763711802,0.375,0.5,0.5,0.3928570999999999,0.475,0.6483333,0.5,17.626429885641404,3.6997902759540895,-2752.4598014646
Argentina,ARG,2021,26300.274261175,17.2906325754362,115.735778808594,33.078689567466,1.36838083162438,45312281.0,20.4837081020577,23.4994644263761,0.375,0.5,0.5,0.3928570999999999,0.5,0.6436666999999999,0.4837962962962963,17.629088679533112,3.7023146479937257,2423.1811206895
Argentina,ARG,2022,27825.0273492567,17.6177901931028,114.14811706543,31.5801792606256,2.3984601182853,45407904.0,21.1180064272847,24.1118636272911,0.375,0.5,0.5,0.3928570999999999,0.5,0.645,0.4722222222222221,17.631196766797363,3.727405535499293,1524.7530880816994
Argentina,ARG,2023,27230.3968496682,18.4930289934213,105.574584297051,26.6769512482215,3.81190879856952,45538401.0,21.4115045495218,25.1722105252735,0.375,0.5,0.4375,0.5,0.5,0.6373333,0.4722222222222221,17.634066527953458,3.7608410287340126,-594.6304995885002
